"property_id","med_H_NRO_CUARTOS","sum_HA_TOT_PER","med_V_TOT_HOG","med_VA1_ESTRATO","lat","lon"
"0085dd3bb5a8392565849164",NA,NA,NA,NA,"4.692000","-74.03100"
"f4b6d0cb1c14750b4556c356",NA,NA,NA,NA,"4.695000","-74.05300"
"daf7f7258b1af23b84758317",NA,NA,NA,NA,"4.608738","-74.10592"
"e29a2ca3c613d3a8bb77396c",NA,NA,NA,NA,"4.750474","-74.06217"
"6f9b3f208273f131f2ba9240"," 4.0"," 557"," 1.0","5.0","4.689000","-74.05300"
"d868a89d2c7c77999a5b07be",NA,NA,NA,NA,"4.712000","-74.04700"
"e8459d39e0e3cb695e0e45a1"," 4.0","2555"," 1.0","4.0","4.690000","-74.06000"
"9ecd0cb9369c453a605334b0"," 5.0"," 125"," 1.0","5.0","4.746000","-74.06000"
"5ecf987f017d88a8e410e813",NA,NA,NA,NA,"4.764000","-74.05500"
"19122f6896bfe4db6c4e8ce2",NA,NA,NA,NA,"4.704242","-74.05196"
"e0415b2ebc4f232549babc85"," 4.0"," 793"," 1.0","5.0","4.720040","-74.05515"
"19782dfa7eee9720bea11eb0",NA,NA,NA,NA,"4.664000","-74.13800"
"6d21e0f4741886cb985c7adf"," 3.0","  53"," 1.0","6.0","4.668000","-74.05200"
"789ba2f0fadb7d569bd617ae",NA,NA,NA,NA,"4.748396","-74.03908"
"1692d121a78d7dab344eebaa"," 4.0","  97"," 1.0","3.0","4.668635","-74.05551"
"152738e7d0391ee0e73cbbf2"," 3.0","  76"," 1.0","5.0","4.729000","-74.04000"
"4722ae7d8a87cbb9671bc88f"," 5.0"," 657"," 1.0","5.0","4.722000","-74.03200"
"e3788c8d05f789e44b49eeff",NA,NA,NA,NA,"4.645000","-74.15000"
"a94989a190522a617063d8ef"," 3.5"," 104"," 1.0","3.0","4.678665","-74.04851"
"4b4a69c8b225c5ed127a3fa5",NA,NA,NA,NA,"4.698804","-74.04420"
"c365f0aa4984272ab44d6dd6",NA,NA,NA,NA,"4.589903","-74.11424"
"311993d40426c84a717d7b9a"," 5.0","  37"," 1.0","4.0","4.712000","-74.05000"
"07dbccf9faac0885f0e15dfe",NA,NA,NA,NA,"4.703000","-74.05100"
"ff15aad7a4b82013c87d942c"," 6.0","  91"," 1.0","5.0","4.666960","-74.11720"
"8c01a8a6b0f9d947df24c5a8"," 5.0"," 378"," 1.0","6.0","4.685716","-74.04422"
"883e631be3edfd7b3cf34064"," 3.5","  14"," 1.0","6.0","4.692504","-74.04346"
"9c6807bb38ed13dfaedbd0a7",NA,NA,NA,NA,"4.688308","-74.05338"
"0cf34eea3f9d14a773fcf33b"," 3.0"," 102"," 1.0","5.0","4.716243","-74.05018"
"a464436d97a050422a7a2cf2"," 4.0","2555"," 1.0","4.0","4.628000","-74.06900"
"567d469a7e037d9690264ac9"," 5.0","  73"," 1.0","5.0","4.701674","-74.04539"
"caa8887badd49db7d281b7b6"," 4.0"," 551"," 1.0","5.0","4.594000","-74.10400"
"fd9501ed7d434e6080bf67b0"," 5.0"," 768"," 1.0","5.0","4.695135","-74.03536"
"e5e0ac8f205a4b9f487091ce",NA,NA,NA,NA,"4.662921","-74.11298"
"936859b1c113e62fe639a067",NA,NA,NA,NA,"4.649000","-74.05900"
"37378491b5b208896c51e4ce",NA,NA,NA,NA,"4.707174","-74.06044"
"ff2635e778dbfc91c5f636ed",NA,NA,NA,NA,"4.681369","-74.07785"
"b9dbb6e3cbceaa5056b7cbf6",NA,NA,NA,NA,"4.661000","-74.05300"
"7a43fa7c829109f467aff268",NA,NA,NA,NA,"4.705833","-74.04018"
"6e1f2fb27f3d7621af6f77e7",NA,NA,NA,NA,"4.705832","-74.03027"
"8eb1faa83383099423c1b955",NA,NA,NA,NA,"4.678632","-74.07648"
"d92f8a96644f5dba214b38f9"," 4.0"," 263"," 1.0","4.0","4.752486","-74.02632"
"64b9eaf9387786d2f13cad2d"," 5.0"," 498"," 1.0","5.0","4.743266","-74.06423"
"0971cec7cb5c797ae3aee274"," 5.0"," 389"," 1.0","5.0","4.628000","-74.14600"
"f6566de922b0ce937322f3ae"," 4.0"," 485"," 1.0","4.0","4.773334","-74.06625"
"0288be4b871116f37a550a08"," 3.0"," 155"," 1.0","2.0","4.686211","-74.02842"
"228edc59bd8f946f538390d7"," 4.0"," 370"," 1.0","3.0","4.728000","-74.05200"
"e0327d2d3eed7b59ba7e3773"," 5.0"," 108"," 1.0","5.0","4.724000","-74.03000"
"2d04f2c17109ee4d77445d12",NA,NA,NA,NA,"4.669065","-74.04051"
"cc793fe5ca45358daff21232"," 6.0"," 264"," 1.0","6.0","4.644000","-74.06500"
"510ea78c1612f0dcbb0da515"," 4.0"," 138"," 1.0","5.0","4.700601","-74.10529"
"c5cc924c0d2bb4d642e7e3ca",NA,NA,NA,NA,"4.695000","-74.03800"
"997815c771ebddbdbb1fead2"," 4.0"," 207"," 1.0","3.0","4.701000","-74.04800"
"8c07a89c03c8e9dc7e614ca9"," 5.0"," 460"," 1.0","6.0","4.678562","-74.07648"
"873037424b571c60a362b578",NA,NA,NA,NA,"4.668000","-74.04900"
"9d4919e2476168092c06315c"," 5.0"," 278"," 1.0","6.0","4.750000","-74.08800"
"e10593fcbc51481c7682f2b5",NA,NA,NA,NA,"4.693556","-74.03288"
"cf4a0ccc6b695bd9c4441b8c"," 4.0"," 551"," 1.0","5.0","4.632729","-74.09584"
"e34cce7cd2bb52e4571bafd2"," 4.0"," 241"," 1.0","5.0","4.615000","-74.06900"
"0a2327b8b35a405c22232bc1"," 4.0"," 245"," 1.0","5.0","4.708000","-74.04000"
"d272208c85896acf4f19a014"," 2.0"," 101"," 1.0","6.0","4.644815","-74.08005"
"533101107b3e8eb887e73eae",NA,NA,NA,NA,"4.706000","-74.04200"
"bab4c65dfeea2329552a2e7b"," 4.0","1144"," 1.0","3.0","4.642000","-74.11400"
"87906fec8a25c4565d7ec109"," 4.0","  95"," 1.0","3.0","4.664270","-74.04765"
"58ff626e4ce2477592eef879"," 5.0"," 657"," 1.0","5.0","4.721155","-74.02830"
"ac90749aa2492fccbc76a3ea"," 3.0"," 100"," 1.0","4.0","4.661000","-74.05300"
"646d57f39b86d6fc5d29d310",NA,NA,NA,NA,"4.699454","-74.04430"
"d252be4afd1f9e601f429e80"," 6.0","  91"," 1.0","5.0","4.632000","-74.08700"
"7049290a387e3da5570f0701",NA,NA,NA,NA,"4.646000","-74.17600"
"88f1cb9a8a3c2b0e2977d958"," 5.0","  48"," 1.0","5.0","4.722822","-74.02905"
"d68622611685c7b4373032f2"," 4.0"," 150"," 1.0","6.0","4.698482","-74.03115"
"3dad519542273a1caddd30d3",NA,NA,NA,NA,"4.663266","-74.04643"
"f1836c854526e70ee335e516"," 4.0"," 551"," 1.0","5.0","4.662000","-74.13600"
"8ef9b43e058c0fa5521ba2a4"," 5.0"," 247"," 1.0","6.0","4.689762","-74.04835"
"edc502dd96c88bfed31e1b32"," 4.0"," 240"," 1.0","5.0","4.755404","-74.03844"
"0a1957b62a00491d7860ab1a"," 4.0"," 639"," 1.0","4.0","4.697963","-74.07954"
"b5355061ee707650f1a85770"," 2.0"," 101"," 1.0","6.0","4.721139","-74.03327"
"78e3c06dc7c539d06fe87208"," 3.0"," 280"," 1.0","3.0","4.588000","-74.11500"
"484fe0ba4f2faeda0ddc817c"," 4.0","  69"," 1.0","5.0","4.676907","-74.05507"
"abd83c4791fe8e43315d25c7"," 3.0","  61"," 1.0","1.0","4.678000","-74.04200"
"dbd095623f390b126442fe35"," 4.0"," 585"," 1.0","4.0","4.669000","-74.03900"
"73aed5bcc5fef01c18a4ffaa"," 4.0","2555"," 1.0","4.0","4.689590","-74.04134"
"8262f928e7b5678ade754e97",NA,NA,NA,NA,"4.691000","-74.06200"
"40a9d95eed1772b819a552f6"," 5.0","  57"," 1.0","6.0","4.618216","-74.07105"
"3790abeddeae1af6c9312ed6",NA,NA,NA,NA,"4.738000","-74.03700"
"ec053cf4390f934eee7b4bc2",NA,NA,NA,NA,"4.726082","-74.03689"
"aa7d53e8e8ff541714d4fb6a"," 4.0","  37"," 1.0","4.0","4.707000","-74.02900"
"d7c5b8e623eb641c62d8dc31"," 4.0"," 485"," 1.0","4.0","4.719240","-74.07680"
"083df57dadc0a41bd620dd4e",NA,NA,NA,NA,"4.724000","-74.06000"
"2afbc2540fda1f9f15c11b8d"," 5.0"," 302"," 1.0","5.0","4.669000","-74.06200"
"bf6028a0a49c4573355828da"," 4.0"," 305"," 1.0","4.0","4.743328","-74.06160"
"1732591cd88efeee4fc74c5d",NA,NA,NA,NA,"4.699146","-74.04534"
"a41a8397f17be20774f2b50f"," 4.0"," 649"," 1.0","5.0","4.698642","-74.10503"
"8b9539b525a79d83f08bbea0"," 5.0"," 214"," 1.0","2.0","4.691000","-74.02900"
"f83fdccbc0661918701d1b70"," 4.0"," 199"," 1.0","5.0","4.701701","-74.05337"
"4327f0b05c9c1d1ff9e0a8c9"," 4.0"," 629"," 1.0","6.0","4.670833","-74.10330"
"c681a8b41ae98477e54fcf86",NA,NA,NA,NA,"4.705000","-74.04600"
"88f70e9b01dfb2c43b6c887a"," 5.0"," 378"," 1.0","6.0","4.755000","-74.03800"
"d79dadaffc5c687af173ce80"," 4.0","  37"," 1.0","4.0","4.695000","-74.05700"
"237f7f570f21b78af3cf9dab",NA,NA,NA,NA,"4.667000","-74.10700"
"320d214271c89590b099d34b"," 4.0","  77"," 1.0","3.0","4.631670","-74.14446"
"5815921ec31067d9f5327ca4"," 4.0"," 649"," 1.0","5.0","4.681000","-74.06200"
"17a5ae502ccfd37f72b395d5"," 4.0"," 485"," 1.0","4.0","4.690000","-74.05900"
"4fbe05abdeb260857f0a3b1e",NA,NA,NA,NA,"4.663920","-74.05504"
"826a3e3517aeb736ce5ce36f",NA,NA,NA,NA,"4.697000","-74.04200"
"78f70b7f0af130f4bb7dca88",NA,NA,NA,NA,"4.692000","-74.02900"
"8b56577345d7ff5bc08cbea0",NA,NA,NA,NA,"4.701008","-74.03582"
"60587e645134d4cd6abb6410"," 4.0"," 497"," 1.0","5.0","4.606393","-74.11843"
"d2801a579e2cd5c68a5e1130",NA,NA,NA,NA,"4.714000","-74.07500"
"e2298825126a1cfd2527f5d6",NA,NA,NA,NA,"4.756623","-74.03438"
"bd3768a652783ff9e8d7c07e"," 4.0","2555"," 1.0","4.0","4.768000","-74.05000"
"9cb3900ed30a34ada52a339c"," 5.0"," 768"," 1.0","5.0","4.584647","-74.10788"
"9ba7fa9d989c4a1cc743f01e"," 4.0","  98"," 1.0","4.0","4.672081","-74.04554"
"adeabcb8f2096b95052d7bba",NA,NA,NA,NA,"4.651995","-74.06972"
"06e57b8b83c4ad7aecd06565",NA,NA,NA,NA,"4.696283","-74.06189"
"ec8c6accdffc34ef88416673"," 4.0","2555"," 1.0","4.0","4.767000","-74.05600"
"d98d6ccb41d85f7f729a5f03"," 4.0"," 824"," 1.0","5.0","4.715000","-74.04700"
"edc02b1b9808379160ce2873",NA,NA,NA,NA,"4.679000","-74.05500"
"668dd7b88da79bfeb7875806"," 4.0"," 121"," 1.0","4.0","4.732000","-74.07400"
"f1b96ceba52d2d0e15fb1c66"," 6.0"," 132"," 1.0","5.0","4.657000","-74.11400"
"77c33a5f2f8f0dc98416cd7c",NA,NA,NA,NA,"4.706000","-74.06000"
"30b9db2174c7493a68cf79eb",NA,NA,NA,NA,"4.768000","-74.06500"
"c59d414e75d4b13ebc323286"," 4.5","  94"," 1.0","5.0","4.649018","-74.05026"
"ce863ff9b993f6937cb6d13e"," 4.0"," 357"," 1.0","5.0","4.709277","-74.04906"
"b098c4bf8457e49dd068a18d"," 4.0"," 763"," 1.0","4.0","4.739831","-74.05953"
"37ce20fc885c6956a8616050"," 3.0","  30"," 1.0","2.0","4.705000","-74.07200"
"96db3bf4066652d6faa28680",NA,NA,NA,NA,"4.655000","-74.05700"
"60f0ec1c5d48c4afb1456283"," 4.0","  42"," 1.0","3.0","4.700000","-74.07500"
"92260a07ec41bfb876d98a4f",NA,NA,NA,NA,"4.725303","-74.03845"
"3219b39698521658b4654b56",NA,NA,NA,NA,"4.692992","-74.05213"
"397eadf8aed75b8e575503fd",NA,NA,NA,NA,"4.711000","-74.12400"
"61e3b47b41ccc38fea608450"," 4.0","1007"," 1.0","5.0","4.698000","-74.02800"
"a48128abbcea9d12d0ca6f11"," 3.0","  83"," 1.0","3.0","4.728000","-74.05200"
"5b9451091b731863289cccc5"," 5.0","  15"," 1.0","5.0","4.659942","-74.10995"
"9dfb3327ce782e2540a729f4"," 6.0","  18"," 1.0","6.0","4.702000","-74.03400"
"41a28e37fb4172b3213e8fc2"," 4.0"," 649"," 1.0","5.0","4.750000","-74.05800"
"6bad71137f4f1b52dc028d93"," 5.0"," 533"," 1.0","5.0","4.635316","-74.09716"
"01424269a5680daea6c7964a"," 5.0"," 221"," 1.0","6.0","4.662508","-74.11397"
"6663c15463c3250fab00f83e"," 4.0"," 105"," 1.0","5.0","4.698000","-74.03400"
"f007185502c10cfe99d89819",NA,NA,NA,NA,"4.674985","-74.09876"
"aa92bea0f7d259c7bd724e02",NA,NA,NA,NA,"4.687233","-74.02550"
"0e7d902097f2952d90aa4562",NA,NA,NA,NA,"4.665000","-74.04600"
"d109715139fa34dab94265b3"," 4.0","  12"," 1.0","2.0","4.704321","-74.02972"
"2f47240150939ad51db8951e",NA,NA,NA,NA,"4.690000","-74.07200"
"8c33f856ceb3ef6989728794",NA,NA,NA,NA,"4.710989","-74.07209"
"da92a7acc7afd225fdc10d78"," 5.0"," 340"," 1.0","5.0","4.763760","-74.05910"
"b397f5d7cddeb3f4fe404797",NA,NA,NA,NA,"4.673000","-74.05800"
"8cf9c55fed8c700019644256"," 4.0","  73"," 1.0","2.0","4.741033","-74.04483"
"79b199147c7a5d82507e598e",NA,NA,NA,NA,"4.675681","-74.04697"
"bb8ed5dc12fc79b1df0f9624"," 4.0"," 342"," 1.0","4.0","4.723741","-74.07378"
"10f677fa5359acd1ca5deeac",NA,NA,NA,NA,"4.625940","-74.11673"
"09b3980c5353487088a353ab"," 4.0"," 164"," 1.0","4.0","4.682418","-74.05296"
"8d27dbb47bd82175983b99a0"," 4.0","  69"," 1.0","4.0","4.690819","-74.04841"
"f926414cefea91fbff2a99c2",NA,NA,NA,NA,"4.707000","-74.04600"
"3290712af94c8ddd54f498b7",NA,NA,NA,NA,"4.628232","-74.06055"
"c1a83c43083b56ca0abb4266",NA,NA,NA,NA,"4.694596","-74.05179"
"f27c246de722e83e73c416f7"," 4.0"," 473"," 1.0","4.0","4.672526","-74.05665"
"811f4579d2cd7cf3267576ba"," 5.0"," 311"," 1.0","4.0","4.719000","-74.07700"
"2c3e61296e41362aa6a323ad",NA,NA,NA,NA,"4.640000","-74.06400"
"2eae316cdf564c916ac482a3"," 5.0"," 136"," 1.0","5.0","4.730000","-74.04300"
"e0ef09e2d3acbc393699ec03"," 4.0","  42"," 1.0","4.0","4.719676","-74.08073"
"201d8757145a973a046f1df6"," 5.0","1284"," 1.0","6.0","4.700000","-74.04000"
"ea4f3c2c0d6c260cc5ec579f",NA,NA,NA,NA,"4.742413","-74.12223"
"804c6db159afbebe664fff0e",NA,NA,NA,NA,"4.724000","-74.02800"
"9c7c966a17f7051da83223dc",NA,NA,NA,NA,"4.676541","-74.05558"
"ee4214ae2fa2cf3e23578ea8"," 4.0","1251"," 1.0","4.0","4.674000","-74.12900"
"95e68ee2811f7adcf641f3da"," 5.0"," 125"," 1.0","5.0","4.700000","-74.05900"
"d8e044e31931fa6cdeb0d1b0"," 4.0","2555"," 1.0","4.0","4.646647","-74.08250"
"95097da6d913772bf799e18c",NA,NA,NA,NA,"4.703963","-74.05339"
"bd191e4d24bb0665b2f99cc3"," 5.0"," 125"," 1.0","5.0","4.714458","-74.05502"
"e7311df8e715fc1f20d5ac4f"," 4.0"," 147"," 1.0","3.0","4.730087","-74.06747"
"b3955994d90cc45e510b33a9"," 4.0"," 269"," 1.0","5.0","4.718678","-74.03101"
"9ff8a436b0aeb56d7e681da6",NA,NA,NA,NA,"4.704000","-74.04700"
"1356d756740fa6ad2f8a35c1"," 6.0"," 235"," 1.0","6.0","4.665474","-74.05444"
"1358a44659ce130bf0495aac"," 5.0"," 140"," 1.0","5.0","4.618000","-74.13700"
"bbb60bfac0605d0433030f2f",NA,NA,NA,NA,"4.764608","-74.04955"
"f8a25ac8624780008f3f2a9c"," 5.0","  26"," 1.0","6.0","4.614090","-74.06541"
"0c98ecb8fc074f0fbb4f7dfe"," 4.0"," 136"," 1.0","4.0","4.649481","-74.15235"
"c9677801ecd283c123c74388",NA,NA,NA,NA,"4.647000","-74.08200"
"5fa37dfafa0d475934404868",NA,NA,NA,NA,"4.694003","-74.05655"
"8ebe84b6ddb37971ab756775"," 2.0"," 101"," 1.0","6.0","4.720369","-74.03968"
"bbdc84456f60a91d1b770811"," 4.0"," 228"," 1.0","2.0","4.637999","-74.06093"
"d6f75c789242a46d8bc07d35"," 5.0","1284"," 1.0","6.0","4.718000","-74.03300"
"58c3e98578ca0618a613f25b"," 4.0"," 486"," 1.0","3.0","4.688000","-74.04900"
"aceb8d9f64dc4adf2d295d17"," 6.0","  53"," 1.0","5.0","4.732000","-74.07600"
"e900396c59c9ae40feff49ef"," 4.0"," 793"," 1.0","5.0","4.759960","-74.03421"
"7892f64da1d872ae0b76f283"," 3.0"," 106"," 1.0","3.0","4.678562","-74.07648"
"b2ea1b1f6849b3df6b99ad2a"," 5.0"," 142"," 1.0","6.0","4.630466","-74.07903"
"c85a19a55dff5abdf99d9f3a"," 5.0","  32"," 1.0","6.0","4.650995","-74.07609"
"e58841f0cd97fb3e0ea36a44",NA,NA,NA,NA,"4.754000","-74.05700"
"91518122fa7d7fc340a73a4c",NA,NA,NA,NA,"4.740034","-74.04517"
"3ea005280548ac3143fb2894",NA,NA,NA,NA,"4.695749","-74.08160"
"5160a843af9eb64a30e66a68"," 4.0"," 110"," 1.0","4.0","4.712000","-74.05000"
"dd69656a3c51419d91e11aed"," 4.0"," 198"," 1.0","5.0","4.671000","-74.04300"
"b47432f37882596c9798570c",NA,NA,NA,NA,"4.727000","-74.03500"
"bc7674db5eaff6b2263045de"," 4.0","  76"," 1.0","5.0","4.690000","-74.04000"
"dd321fc8d8af33e0ac255a9c"," 6.0"," 191"," 1.0","6.0","4.666000","-74.04300"
"127564c38887eb8beafb2551",NA,NA,NA,NA,"4.716382","-74.04809"
"b334ca99e92ed03e4362b061"," 2.5","  25"," 1.0","5.0","4.707000","-74.03100"
"a0ffbaa95425da75f3a6facc"," 4.0"," 242"," 1.0","2.0","4.660700","-74.08023"
"dc7faf94f297de232f5fca0b"," 4.0","  10"," 1.0","5.0","4.702000","-74.05400"
"b877a3b0abe9d3deeeb96ae3"," 1.0","  79"," 1.0","3.0","4.678562","-74.07648"
"e3d8f15f1acba19ba89901ed",NA,NA,NA,NA,"4.644482","-74.07290"
"17d763c5adb7bddd528b112b",NA,NA,NA,NA,"4.709000","-74.06200"
"df8bd73c0a6ac27e6908b7b3"," 5.0","  75"," 1.0","5.0","4.710989","-74.07209"
"1ad52f5c391f20061055b100"," 5.0","1211"," 1.0","5.0","4.764454","-74.04534"
"1c273b04abea55e18247c2a8",NA,NA,NA,NA,"4.670000","-74.04400"
"b65934715cc6a6b7090724f9"," 4.0"," 330"," 1.0","4.0","4.728000","-74.05700"
"145d21adc559012faed053ab"," 4.0"," 407"," 1.0","5.0","4.717435","-74.03557"
"1903d196bbc73e74d07153a5",NA,NA,NA,NA,"4.706171","-74.04081"
"d6c0c80727177ea3a2db0d7a"," 6.0"," 161"," 1.0","5.0","4.639591","-74.14416"
"6b598b9a7828b94a06d80566",NA,NA,NA,NA,"4.624000","-74.07500"
"0e518f5852a8983b29d0012b"," 4.0","  60"," 1.0","4.0","4.657701","-74.04823"
"ccf18e83b030c6b231a149a8",NA,NA,NA,NA,"4.705000","-74.03900"
"d1bcc3be7f452197d0cc4df1",NA,NA,NA,NA,"4.711902","-74.08266"
"675c852c05e57ef043ac4b5c"," 4.0"," 121"," 1.0","4.0","4.722000","-74.04500"
"180340b158c8dff831872fef"," 4.0"," 873"," 1.0","4.0","4.762808","-74.03772"
"26904c17d1b0ab40771ce55d"," 4.0"," 327"," 1.0","5.0","4.704000","-74.06200"
"97a88553a4e02c34122bf969"," 4.0"," 283"," 1.0","3.0","4.692000","-74.04100"
"4184aac7c696208b030c3c06",NA,NA,NA,NA,"4.727000","-74.04500"
"272fd8a59b1c777fb5983835",NA,NA,NA,NA,"4.703982","-74.05332"
"8417639a452edd99bb7bbb1f"," 4.0"," 167"," 1.0","3.0","4.759488","-74.04578"
"00ae0ca11f2841afd5e7b056",NA,NA,NA,NA,"4.677715","-74.04993"
"f122ebf1fda1f4664b44fa14",NA,NA,NA,NA,"4.710989","-74.07209"
